time,temp,pH,DissolvedOxygen,Conductivity,Turbidity,PermanganateIndex,AmmoniaNitrogen,TotalPhosphorus,TotalNitrogen
2020/12/19 12:00,17.1,6.78,7.15,151,10.3,3.71,0.035,0.043,1.17
2020/12/19 16:00,17.1,6.83,7.58,150.9,11.1,3.76,0.033,0.046,1.41
2020/12/19 20:00,17.1,6.8,7.39,150.6,11.9,3.72,0.032,0.045,1.15
2020/12/20 0:00,17,6.78,7.32,150.8,11,3.72,0.032,0.045,1.15
2020/12/20 4:00,16.9,6.78,7.15,150.8,11.6,3.59,0.033,0.043,1.1
2020/12/20 8:00,16.6,6.75,7.24,151.3,9.6,3.5,0.043,0.042,1.2
2020/12/20 12:00,17,6.87,7.54,151.6,10.7,3.79,0.028,0.046,1.13
2020/12/20 16:00,17.5,6.99,7.85,151,11.6,3.79,0.028,0.045,1.18
2020/12/20 20:00,17.1,6.91,7.65,151,11.8,3.82,0.027,0.043,1.17
2020/12/21 0:00,17,6.88,7.39,150.6,10.5,3.82,0.027,0.043,1.17
2020/12/21 4:00,16.8,6.84,7.18,150.2,11.9,3.69,0.027,0.043,1.14
2020/12/21 8:00,16.6,6.85,7.11,150.2,11.6,3.58,0.033,0.043,1.15
2020/12/21 12:00,17.1,7.03,8.12,150.6,12.7,3.92,0.029,0.043,1.11
2020/12/21 16:00,17.7,7.15,8.44,151,10.3,4.2,0.028,0.044,1.19
2020/12/21 20:00,17.4,7.01,7.98,150.7,10.2,3.75,0.028,0.044,1.18
2020/12/22 0:00,17.1,6.91,7.72,150.6,10.8,3.75,0.028,0.044,1.18
2020/12/22 4:00,17,6.85,7.44,150.7,9.4,3.62,0.025,0.041,1.16
2020/12/22 8:00,16.9,6.84,7.36,149.5,11.5,3.76,0.032,0.04,1.16
2020/12/22 12:00,17.4,7.15,8.49,150.1,10.6,4.4,0.025,0.042,1.14
2020/12/22 16:00,18.4,7.33,8.83,150.5,9.4,3.73,0.025,0.043,1.28
2020/12/22 20:00,17.9,7.32,8.81,150.5,8.8,3.45,0.072,0.049,1.54
2020/12/23 0:00,17.8,7.02,8.11,150.4,7.9,3.4,0.06,0.046,1.37
2020/12/23 4:00,17.6,6.83,7.42,150.2,6.8,2.97,0.059,0.042,1.33
2020/12/23 8:00,17.4,7.11,8.3,150.5,8,2.78,0.068,0.042,1.45
2020/12/23 12:00,17.8,7.09,7.69,143.9,8.4,3.92,0.056,0.045,1.44
2020/12/23 16:00,18,7.31,8.23,145,9.1,3.93,0.052,0.052,1.47
2020/12/23 20:00,18,7.33,8.32,144.9,8.8,3.77,0.052,0.046,1.43
2020/12/24 0:00,17.6,7.25,8.12,145.1,9.1,3.78,0.056,0.047,1.42
2020/12/24 4:00,17.5,7.07,7.66,144.7,8.4,3.51,0.053,0.044,1.43
2020/12/24 8:00,17.4,6.92,7.28,144.5,8.6,3.44,0.061,0.044,1.41
2020/12/24 12:00,17.6,6.9,7.39,144,8.1,3.74,0.052,0.048,1.42
2020/12/24 16:00,17.9,7.53,8.65,145,8.8,3.97,0.05,0.049,1.46
2020/12/24 20:00,17.8,7.12,8.35,145.1,8.4,3.7,0.052,0.045,1.4
2020/12/25 0:00,17.6,7.28,8.19,145,9.2,3.7,0.052,0.045,1.4
2020/12/25 4:00,17.5,6.93,7.33,144.6,8.3,3.56,0.05,0.044,1.39
2020/12/25 8:00,17.4,6.89,7.14,144.2,8.5,3.42,0.06,0.045,1.45
2020/12/25 12:00,17.5,6.98,7.5,144.2,8,3.86,0.049,0.045,1.37
2020/12/25 16:00,17.6,7.66,8.9,144.4,9.4,4.04,0.045,0.05,1.5
2020/12/25 20:00,17.6,7.45,8.61,144.8,8.8,3.67,0.044,0.047,1.48
2020/12/26 0:00,17.5,7.28,8.32,144.8,8,3.67,0.044,0.047,1.48
2020/12/26 4:00,17.5,6.89,7.19,144.8,7.3,3.52,0.048,0.045,1.4
2020/12/26 8:00,17.4,6.89,7.16,143.8,8.2,3.56,0.059,0.047,1.45
2020/12/26 12:00,18,7.55,8.96,143.5,8.3,4.06,0.049,0.048,1.47
2020/12/26 16:00,18.3,7.98,9.44,143.1,8.3,4.1,0.048,0.047,1.38
2020/12/26 20:00,18,7.61,8.97,143.1,8.5,3.75,0.075,0.044,1.35
2020/12/27 0:00,18,7.33,8.57,142,6.8,3.75,0.075,0.044,1.35
2020/12/27 4:00,18,7.19,8.17,142,7.8,3.48,0.049,0.041,1.25
2020/12/27 8:00,18,7.2,8.13,141.6,6.8,3.34,0.055,0.041,1.37
2020/12/27 12:00,19.1,7.38,8.43,141.5,6.3,3.61,0.048,0.043,1.33
2020/12/27 16:00,19.4,8.08,9.61,139.7,6.8,3.78,0.045,0.04,1.29
2020/12/27 20:00,19.7,7.12,7.96,141.7,5.9,3.35,0.057,0.038,1.25
2020/12/28 0:00,19.4,7.93,9.57,140.4,5.8,3.35,0.057,0.038,1.25
2020/12/28 4:00,19,7.38,8.56,141.3,6.2,3.19,0.05,0.036,1.22
2020/12/28 8:00,18.7,7.34,8.38,140.9,5.9,3.28,0.055,0.037,1.3
2020/12/28 12:00,20.4,7.53,8.82,141,5.5,3.61,0.049,0.038,1.28
2020/12/28 16:00,20.1,8.25,9.76,139.9,6.7,3.7,0.043,0.041,1.37
2020/12/28 20:00,19.6,8.13,9.52,140.8,6.6,3.57,0.044,0.039,1.35
2020/12/29 0:00,19.4,7.71,8.72,141.3,7,3.57,0.044,0.039,1.35
2020/12/29 4:00,19.6,7.46,8.37,140.7,6,3.32,0.044,0.038,1.29
2020/12/29 8:00,19.5,7.41,8.25,140.5,6,3.5,0.053,0.038,1.34
